ふりがな,名称,所在地又は代表地番,latitude,longitude,公園種別
くわたこうえん,桑田公園,荒牧南3丁目268,34.807321,135.383872,街区公園
ながさわこうえん,長沢公園,北野4丁目35,34.803272,135.388003,街区公園
まつがおかこうえん,松ケ丘公園,松ケ丘3丁目11,34.786193,135.389375,街区公園
みなみほんまちこうえん,南本町公園,南本町4丁目20,34.772916,135.419388,街区公園
ひらまつこうえん,平松公園,平松5丁目40,34.772678,135.416146,街区公園
なんりょうこうえん,南菱公園,南鈴原3丁目42,34.77072,135.407092,街区公園
ひがしうらこうえん,東浦公園,南野3丁目889-1,34.768456,135.405137,街区公園
くるまづかこうえん,車塚公園,車塚2丁目86,34.76219,135.400027,街区公園
じょうがいちこうえん,城ケ市公園,瑞原3丁目63,34.798612,135.395614,街区公園
たまだこうえん,玉田公園,瑞原2丁目13,34.795298,135.395616,街区公園
あまがいけこうえん,尼ケ池公園,瑞穂町4丁目17,34.792723,135.404272,街区公園
いたみしせきこうえん,伊丹史跡公園,緑ケ丘4丁目21,34.797565,135.406598,街区公園
みなみちょうこうえん,南町公園,南町2丁目48,34.76737,135.418669,街区公園
みなみのこうえん,南野公園,安堂寺町2丁目98,34.763273,135.40895,街区公園
なかそねこうえん,中曽根公園,南野北3丁目78,34.770644,135.401687,街区公園
ひらたこうえん,平田公園,野間北4丁目19-3,34.769771,135.39258,街区公園
いずみこうえん,泉公園,昆陽泉町4丁目4,34.776696,135.399604,街区公園
どうのまえこうえん,堂の前公園,千僧6丁目95,34.782224,135.403456,街区公園
さいぜんじこうえん,西善寺公園,千僧3丁目70,34.785728,135.405717,街区公園
にしたまだこうえん,西玉田公園,中野東2丁目30-2,34.794157,135.392822,街区公園
ながおこうえん,長尾公園,北野1丁目67-4,34.801901,135.38678,街区公園
ほりいけこうえん,堀池公園,堀池3丁目165他,34.771544,135.397492,街区公園
にしのこうえん,西野公園,池尻3丁目352外,34.782755,135.379122,街区公園
ひとつばしこうえん,一ツ橋公園,船原2丁目65,34.781761,135.411879,街区公園
うめぞのこうえん,梅園公園,西台1丁目61,34.779714,135.411767,街区公園
しゅきこうえん,主基公園,西台4丁目15,34.778634,135.412874,街区公園
ごぼうさかのしたこうえん,御坊坂ノ下公園,中野西1丁目147,34.789075,135.385902,街区公園
にしいけこうえん,西池公園,荒牧南4丁目15,34.808098,135.386837,街区公園
ありおかこうえん,有岡公園,伊丹5丁目685-3,34.77673,135.420003,街区公園
おぎのこうえん,荻野公園,荻野3丁目72,34.803676,135.39263,街区公園
わかたけこうえん,若竹公園,荻野2丁目45,34.804332,135.394719,街区公園
ふるいけこうえん,古池公園,荻野6丁目24,34.808874,135.392103,街区公園
わかうめこうえん,若梅公園,荻野1丁目13,34.801765,135.396808,街区公園
いっぽんまつこうえん,一本松公園,野間北3丁目187,34.769385,135.396511,街区公園
のまこうえん,野間公園,野間8丁目14-3,34.764304,135.396123,街区公園
しもがわらこうえん,下河原公園,下河原1丁目186-5,34.800826,135.428332,街区公園
きたいたみだいいちこうえん,北伊丹第 1公園,北伊丹2丁目64,34.793386,135.418612,街区公園
きたいたみだいにこうえん,北伊丹第 2公園,北伊丹4丁目71,34.795971,135.418963,街区公園
きたうらこうえん,北浦公園,桑津2丁目345-3,34.785902,135.431058,街区公園
ふちのうえこうえん,淵ノ上公園,森本2丁目141-1,34.781948,135.432478,街区公園
つるたこうえん,鶴田公園,荒牧6丁目160,34.810572,135.389551,街区公園
さとううらこうえん,佐藤裏公園,昆陽5丁目200-6,34.780063,135.395059,街区公園
つじこうえん,辻公園,山田5丁目74,34.771475,135.384722,街区公園
のまひがしこうえん,野間東公園,野間1丁目4-5,34.766981,135.396966,街区公園
はなざとこうえん,花里公園,寺本3丁目197-2,34.779056,135.385631,街区公園
いもじこうえん,鋳物師公園,鋳物師4丁目4,34.799777,135.410558,街区公園
まさきこうえん,政木公園,北河原3丁目75,34.790573,135.41993,街区公園
わかまつこうえん,若松公園,荻野8丁目65,34.807981,135.388097,街区公園
みすずこうえん,美鈴公園,美鈴町4丁目21-2,34.773006,135.400669,街区公園
にしのふたつづかこうえん,西野二ツ塚公園,西野1丁目240-4,34.787976,135.378379,街区公園
かすがおかこうえん,春日丘公園,春日丘2丁目136-2,34.789719,135.41279,街区公園
のまきたこうえん,野間北公園,野間北5丁目10-11,34.768437,135.391321,街区公園
のまにしこうえん,野間西公園,野間4丁目8-9,34.765963,135.391147,街区公園
いけじりにしこうえん,池尻西公園,池尻6丁目82-5,34.779639,135.378688,街区公園
さわこうえん,沢公園,桑津2丁目394,34.784065,135.430448,街区公園
きたいたみだいさんこうえん,北伊丹第３公園,北伊丹8丁目230,34.798323,135.415203,街区公園
