各観光地点,住所,latitude,longitude,高さ,電話番号
アイホール（演劇ホール）,伊丹2丁目4-1,34.780872,135.420563,16.6,072-782-2000
アイフォニックホール（音楽ホール）,宮ノ前1丁目3-30,34.782654,135.415924,18.1,072-780-2110
いたみホール（文化会館）,宮ノ前1丁目1-3,34.78178,135.413666,16.1,072-778-8788
昆陽池公園,昆陽池3丁目1,34.787682,135.397049,26,072－784-8134
荒牧バラ公園,荒牧6丁目5－50,34.811157,135.386642,37.4,072－784-8134
伊丹スカイパーク,森本7丁目1-1,34.778679,135.441757,8.3,072－784-8134
こども文化科学館,桑津3丁目1-36,34.782848,135.433548,10.3,072-784-1222
ローラースケート場,北伊丹8丁目230-1,34.798702,135.41568,15.4,072-773-0081 
伊丹スポーツセンター,鴻池1丁目1-1,34.794991,135.393402,30.3,072-783-5613
スワンホール（労働福祉会館）,昆陽池2丁目1,34.782013,135.401718,20.6,072-779-5661
みどりのプラザ,荒牧6丁目4-12,34.811256,135.387039,36.7,072-772-7696
伊丹郷町館,宮ノ前2丁目5-28,34.781975,135.41748,17.8,072-772-5959
博物館,千僧1丁目1-1,34.784084,135.400986,21.2,072-783-0582
美術館,宮ノ前2丁目5-28,34.781975,135.41748,17.8,072-772-7447
工芸センター,宮ノ前2丁目5-28,34.781975,135.41748,17.8,072-772-5557
昆虫館,昆陽池3丁目1,34.787682,135.397049,26,072-785-3582
柿衞文庫,宮ノ前2丁目5-20,34.782654,135.417435,18,072-782-0244
ブルワリービレッジ長寿蔵,中央3丁目4-15,34.781326,135.417633,17.8,072-773-1111
観光物産ギャラリー,東有岡1丁目6-2,34.780556,135.42218,12.8,072-770-7060
